u_nodes_ratings_l	v_nodes_ratings_l	ratings_l	company	UserState	UserTimeZone	ItemCity	ItemState	ItemTimeZone
875	831	5	3	63	9	87	15	2
609	892	5	3	63	9	64	28	3
1779	1593	5	0	63	9	76	7	1
609	971	5	3	63	9	81	14	1
1183	837	5	4	63	9	22	20	2
1579	1591	5	4	63	9	64	28	3
1779	2222	5	2	63	9	102	29	0
609	820	5	4	63	9	10	7	1
609	280	5	3	63	9	64	28	3
1183	837	5	4	63	9	22	20	2
1420	38	5	0	63	9	78	12	0
1579	287	5	4	63	9	90	21	1
875	1670	5	1	63	9	43	7	1
1183	947	5	4	63	9	1	26	2
1579	706	5	4	63	9	90	21	1
268	1901	5	0	10	31	23	26	2
1619	1227	5	3	10	31	52	16	0
1386	113	5	1	10	31	62	4	0
1391	462	5	2	10	31	72	17	2
1903	1950	5	3	10	31	105	24	2
155	1468	5	0	10	31	26	22	2
268	1906	5	0	10	31	14	9	2
1619	708	5	2	10	31	84	13	2
391	692	5	4	10	31	26	22	2
155	1970	5	4	10	31	98	27	0
366	81	5	2	10	31	72	17	2
1391	606	5	2	10	31	105	24	2
2012	1237	5	0	10	31	27	4	0
391	80	5	2	10	31	72	17	2
1903	1958	5	2	10	31	105	24	2
281	1371	5	2	10	31	90	21	1
1619	217	5	3	10	31	84	13	2
1386	1816	5	4	10	31	12	1	2
1391	2104	5	2	10	31	37	9	2
391	1946	5	3	10	31	7	16	0
1903	111	5	0	10	31	62	4	0
281	587	5	3	10	31	84	13	2
1937	79	5	1	10	31	72	17	2
1619	1364	5	2	10	31	90	21	1
1386	2195	5	4	10	31	62	4	0
391	1959	5	4	10	31	26	22	2
391	1856	5	3	10	31	49	26	2
155	1363	5	4	10	31	4	25	3
377	1090	5	0	10	31	37	9	2
1595	1638	5	3	8	31	10	7	1
1248	888	5	0	8	31	27	4	0
2230	873	5	3	8	31	62	4	0
2262	1772	5	0	8	31	57	7	1
884	215	5	1	8	31	62	4	0
385	878	5	0	8	31	62	4	0
1595	818	5	4	8	31	57	7	1
1248	846	5	4	8	31	27	4	0
2230	2220	5	0	8	31	60	29	0
479	878	5	0	8	31	62	4	0
2262	2220	5	0	8	31	60	29	0
2101	1382	5	4	8	31	11	29	0
1078	34	5	2	8	31	31	19	0
385	1332	5	4	8	31	59	4	0
1595	1747	5	2	8	31	82	7	1
2230	1371	5	2	8	31	90	21	1
193	104	5	4	8	31	27	4	0
2262	209	5	4	8	31	60	29	0
33	2226	5	2	8	31	102	29	0
274	901	5	4	8	31	73	19	0
274	2087	5	4	8	31	18	20	2
385	1795	5	2	8	31	4	25	3
385	2050	5	4	8	31	84	13	2
1248	2154	5	4	8	31	72	17	2
2101	213	5	4	8	31	27	4	0
884	1237	5	0	8	31	27	4	0
274	569	5	1	8	31	49	26	2
1078	1849	5	2	8	31	4	25	3
385	2183	5	0	8	31	59	4	0
1595	1893	5	3	8	31	32	26	2
479	114	5	0	8	31	62	4	0
479	1237	5	0	8	31	27	4	0
2262	272	5	0	8	31	73	19	0
884	1820	5	0	8	31	12	1	2
33	224	5	0	8	31	39	30	1
385	72	5	0	8	31	39	30	1
787	1872	5	1	47	19	49	26	2
787	288	5	4	47	19	22	20	2
787	721	5	2	47	19	22	20	2
1020	1724	5	0	78	34	57	7	1
1674	349	5	1	78	34	64	28	3
139	2077	5	3	78	34	89	2	2
1004	1605	5	4	78	34	104	7	1
1223	1903	5	4	78	34	71	28	3
1580	1250	5	0	78	34	49	26	2
624	1106	5	1	78	34	57	7	1
501	1593	5	0	78	34	76	7	1
859	467	5	0	78	34	62	4	0
1005	2053	5	3	78	34	84	13	2
1674	1022	5	4	78	34	98	25	3
1549	1963	5	4	78	34	89	2	2
1580	1393	5	4	78	34	49	26	2
1832	503	5	0	78	34	94	15	2
19	186	5	0	78	34	104	7	1
1362	845	5	4	78	34	43	7	1
1496	1824	5	4	78	34	12	1	2
1201	2107	5	4	78	34	37	9	2
1020	92	5	2	78	34	4	25	3
1674	391	5	4	78	34	98	25	3
1598	1620	5	0	78	34	104	7	1
1549	1361	5	4	78	34	49	26	2
506	2176	5	2	78	34	90	21	1
1580	1847	5	4	78	34	22	20	2
1832	1647	5	0	78	34	104	7	1
1652	2176	5	2	78	34	90	21	1
1362	1632	5	4	78	34	43	7	1
1496	1045	5	4	78	34	72	17	2
501	885	5	0	78	34	27	4	0
1551	1477	5	2	78	34	42	7	1
1375	579	5	0	78	34	90	21	1
859	1320	5	0	78	34	74	29	0
1005	2057	5	1	78	34	84	13	2
1020	92	5	0	78	34	4	25	3
1004	1721	5	4	78	34	42	7	1
1223	364	5	4	78	34	82	7	1
513	1387	5	0	78	34	90	21	1
624	1593	5	0	78	34	76	7	1
19	99	5	3	78	34	92	10	0
1362	1827	5	4	78	34	104	7	1
1496	1347	5	4	78	34	60	29	0
1093	1064	5	0	78	34	89	2	2
501	1620	5	0	78	34	104	7	1
1551	818	5	4	78	34	57	7	1
1375	581	5	0	78	34	84	13	2
1201	1791	5	4	78	34	4	25	3
1674	1312	5	4	78	34	90	21	1
1598	2005	5	0	78	34	90	21	1
139	205	5	3	78	34	89	2	2
1004	1176	5	4	78	34	57	7	1
1832	1170	5	0	78	34	89	2	2
1362	1670	5	4	78	34	43	7	1
1496	469	5	4	78	34	60	29	0
1093	1176	5	0	78	34	57	7	1
501	1711	5	0	78	34	42	7	1
980	1559	5	4	78	34	15	28	3
2352	101	5	4	78	34	104	7	1
1005	2047	5	3	78	34	84	13	2
1201	1744	5	4	78	34	57	7	1
1172	437	5	3	36	32	63	3	2
2241	101	5	1	36	32	104	7	1
2241	237	5	1	36	32	57	7	1
629	155	5	3	12	25	5	29	0
380	937	5	0	12	25	64	28	3
2133	98	5	0	12	25	6	5	3
525	1576	5	3	12	25	15	28	3
116	1234	5	0	12	25	77	8	0
146	892	5	0	12	25	64	28	3
1256	387	5	3	12	25	4	25	3
2344	1816	5	3	12	25	12	1	2
1300	893	5	3	12	25	101	18	3
1356	770	5	0	12	25	76	7	1
1377	1670	5	4	12	25	43	7	1
1002	1829	5	0	12	25	1	26	2
2318	1369	5	0	12	25	10	7	1
758	791	5	0	12	25	50	28	3
799	79	5	3	12	25	72	17	2
1906	280	5	1	12	25	64	28	3
1644	1574	5	0	12	25	28	28	3
712	1659	5	0	12	25	104	7	1
712	3	5	0	12	25	81	14	1
168	2016	5	4	12	25	31	19	0
1608	2050	5	3	12	25	84	13	2
1627	1810	5	4	12	25	12	1	2
1925	1856	5	2	12	25	49	26	2
1925	1318	5	2	12	25	42	7	1
525	1529	5	0	12	25	64	28	3
340	1864	5	4	12	25	83	26	2
116	1721	5	2	12	25	42	7	1
1256	1549	5	2	12	25	64	28	3
2344	387	5	3	12	25	4	25	3
1683	570	5	4	12	25	93	7	1
1356	354	5	0	12	25	61	7	1
269	954	5	3	12	25	15	28	3
996	1016	5	3	12	25	78	12	0
1128	2039	5	4	12	25	6	5	3
1343	1542	5	4	12	25	28	28	3
1962	1164	5	0	12	25	50	28	3
978	741	5	2	12	25	102	29	0
978	1202	5	0	12	25	65	21	1
1974	1492	5	2	12	25	11	29	0
937	693	5	4	12	25	50	28	3
937	631	5	4	12	25	68	28	3
474	796	5	0	12	25	49	26	2
714	1597	5	4	12	25	76	7	1
254	1300	5	4	12	25	42	7	1
799	2073	5	2	12	25	94	15	2
963	1562	5	2	12	25	50	28	3
168	693	5	4	12	25	50	28	3
1381	1558	5	4	12	25	15	28	3
1608	517	5	0	12	25	39	30	1
343	217	5	2	12	25	84	13	2
1627	1642	5	2	12	25	104	7	1
258	1477	5	0	12	25	42	7	1
2294	1102	5	2	12	25	85	3	2
1925	931	5	2	12	25	84	13	2
380	368	5	0	12	25	48	7	1
212	1711	5	4	12	25	42	7	1
525	1308	5	4	12	25	64	28	3
1605	760	5	4	12	25	64	28	3
146	1514	5	4	12	25	71	28	3
1256	1968	5	2	12	25	18	20	2
1683	1275	5	4	12	25	6	5	3
1377	1820	5	4	12	25	12	1	2
269	997	5	3	12	25	15	28	3
996	828	5	3	12	25	7	16	0
1914	1587	5	4	12	25	76	7	1
1343	1103	5	2	12	25	68	28	3
1002	892	5	4	12	25	64	28	3
978	446	5	2	12	25	94	15	2
2318	1429	5	4	12	25	10	7	1
937	2045	5	4	12	25	100	13	2
937	1726	5	4	12	25	57	7	1
474	1406	5	0	12	25	1	26	2
474	1873	5	0	12	25	23	26	2
758	693	5	4	12	25	50	28	3
254	2005	5	4	12	25	90	21	1
799	443	5	2	12	25	92	10	0
712	2005	5	4	12	25	90	21	1
712	983	5	4	12	25	57	7	1
168	1553	5	4	12	25	50	28	3
1381	1558	5	4	12	25	15	28	3
2106	1471	5	2	12	25	62	4	0
273	1789	5	0	12	25	4	25	3
2116	224	5	4	12	25	39	30	1
1038	982	5	0	12	25	57	7	1
170	442	5	0	12	25	84	13	2
1495	1667	5	4	12	25	76	7	1
2294	693	5	2	12	25	50	28	3
1925	1214	5	4	12	25	89	2	2
1925	2052	5	3	12	25	84	13	2
629	1211	5	1	12	25	42	7	1
804	1015	5	4	12	25	101	18	3
2133	657	5	4	12	25	47	0	0
525	1544	5	3	12	25	28	28	3
1605	104	5	4	12	25	27	4	0
146	389	5	0	12	25	81	14	1
1256	2005	5	3	12	25	90	21	1
2344	207	5	3	12	25	25	9	2
1300	1608	5	0	12	25	34	7	1
1356	892	5	0	12	25	64	28	3
1377	1817	5	4	12	25	12	1	2
269	1581	5	3	12	25	15	28	3
996	2028	5	3	12	25	6	5	3
1343	378	5	4	12	25	46	25	3
1002	1562	5	4	12	25	50	28	3
1962	1396	5	0	12	25	52	16	0
1525	4	5	0	12	25	81	14	1
978	2214	5	0	12	25	6	5	3
937	2097	5	3	12	25	25	9	2
474	478	5	0	12	25	81	14	1
758	1552	5	4	12	25	50	28	3
714	2014	5	4	12	25	90	21	1
799	698	5	3	12	25	26	22	2
712	1176	5	4	12	25	57	7	1
1374	1137	5	3	12	25	48	7	1
168	274	5	4	12	25	31	19	0
1381	1144	5	4	12	25	68	28	3
2106	2218	5	4	12	25	60	29	0
273	1963	5	0	12	25	89	2	2
170	1107	5	0	12	25	72	17	2
1495	1580	5	4	12	25	15	28	3
340	969	5	4	12	25	83	26	2
1332	2040	5	4	12	25	6	5	3
1300	2013	5	4	12	25	0	6	0
1914	1323	5	4	12	25	50	28	3
1128	820	5	4	12	25	10	7	1
1002	1554	5	4	12	25	50	28	3
1525	346	5	4	12	25	50	28	3
978	393	5	0	12	25	90	21	1
978	1637	5	0	12	25	10	7	1
2318	1646	5	4	12	25	41	7	1
937	2044	5	0	12	25	100	13	2
937	1622	5	3	12	25	43	7	1
474	101	5	0	12	25	104	7	1
474	1599	5	0	12	25	93	7	1
714	1300	5	4	12	25	42	7	1
799	1505	5	2	12	25	90	21	1
963	2177	5	2	12	25	90	21	1
521	283	5	4	12	25	39	30	1
1644	325	5	4	12	25	15	28	3
712	1251	5	4	12	25	42	7	1
712	1726	5	4	12	25	57	7	1
2106	2056	5	4	12	25	84	13	2
343	82	5	3	12	25	72	17	2
273	1308	5	0	12	25	64	28	3
258	1593	5	0	12	25	76	7	1
1146	1636	5	0	12	25	10	7	1
1038	1330	5	0	12	25	4	25	3
1495	1593	5	4	12	25	76	7	1
764	837	5	0	70	21	22	20	2
764	498	5	4	70	21	22	20	2
2009	272	5	0	70	21	73	19	0
2009	1344	5	0	70	21	31	19	0
764	936	5	4	70	21	22	20	2
764	795	5	4	70	21	49	26	2
2009	944	5	0	70	21	72	17	2
2009	1845	5	3	70	21	75	26	2
764	538	5	4	70	21	49	26	2
2350	922	5	3	23	17	18	20	2
2350	1364	5	3	23	17	90	21	1
2350	1176	5	1	23	17	57	7	1
2350	240	5	0	23	17	57	7	1
2350	478	5	0	23	17	81	14	1
2350	1311	5	1	23	17	90	21	1
2350	579	5	1	23	17	90	21	1
2350	312	5	1	23	17	89	2	2
2350	818	5	1	23	17	57	7	1
2350	241	5	1	23	17	81	14	1
1812	1767	5	3	61	28	2	29	0
592	1312	5	0	61	28	90	21	1
238	1229	5	0	61	28	50	28	3
1033	1335	5	3	61	28	50	28	3
1033	291	5	3	61	28	60	29	0
1677	1001	5	3	61	28	83	26	2
1136	3	5	4	61	28	81	14	1
498	791	5	1	61	28	50	28	3
748	947	5	0	61	28	1	26	2
1	1641	5	3	61	28	104	7	1
1246	1700	5	1	61	28	42	7	1
1940	1817	5	3	61	28	12	1	2
2232	1599	5	4	61	28	93	7	1
1249	1037	5	1	61	28	65	21	1
667	366	5	0	61	28	82	7	1
698	1663	5	3	61	28	70	7	1
1519	857	5	0	61	28	76	7	1
2138	2155	5	4	61	28	72	17	2
957	971	5	3	61	28	81	14	1
1260	1619	5	3	61	28	61	7	1
789	1499	5	3	61	28	26	22	2
2288	1963	5	0	61	28	89	2	2
2206	1462	5	3	61	28	92	10	0
1380	413	5	3	61	28	1	26	2
488	1597	5	0	61	28	76	7	1
1760	1211	5	4	61	28	42	7	1
660	1491	5	1	61	28	42	7	1
1431	1091	5	0	61	28	39	30	1
671	1563	5	0	61	28	50	28	3
1365	1260	5	0	61	28	42	7	1
2073	1778	5	0	61	28	45	7	1
2267	1211	5	3	61	28	42	7	1
942	267	5	4	61	28	39	30	1
786	932	5	3	61	28	84	13	2
1845	977	5	3	61	28	22	20	2
590	1769	5	0	61	28	41	7	1
1327	2057	5	3	61	28	84	13	2
438	2038	5	3	61	28	6	5	3
189	484	5	3	61	28	24	12	0
1620	1646	5	4	61	28	41	7	1
2105	770	5	0	61	28	76	7	1
1516	1079	5	0	61	28	54	14	1
1447	1471	5	0	61	28	62	4	0
194	1731	5	4	61	28	8	7	1
589	2170	5	3	61	28	77	8	0
186	1726	5	3	61	28	57	7	1
1355	299	5	3	61	28	3	17	2
1470	250	5	1	61	28	76	7	1
371	1048	5	0	61	28	39	30	1
1099	1762	5	0	61	28	48	7	1
62	1647	5	3	61	28	104	7	1
38	1279	5	3	61	28	54	14	1
2109	2178	5	0	61	28	65	21	1
944	1963	5	4	61	28	89	2	2
1309	517	5	3	61	28	39	30	1
919	217	5	1	61	28	84	13	2
383	269	5	0	61	28	12	1	2
1292	984	5	4	61	28	57	7	1
2175	1183	5	0	61	28	33	3	2
754	1588	5	3	61	28	76	7	1
883	708	5	3	61	28	84	13	2
203	188	5	0	61	28	101	18	3
1072	1667	5	4	61	28	76	7	1
